Trial,Duration,Number of bumps into walls
1,78.620000000000005,13
2,24.699999999999999,0
3,39.5,3
4,34.710000000000001,0
5,33.200000000000003,1
6,81.269999999999996,3
7,96.430000000000007,0
8,35.700000000000003,0
9,66.019999999999996,2
10,92.480000000000004,0
11,58.299999999999997,4
12,26.41,0
13,138.00999999999999,7
14,72.810000000000002,12
15,39.579999999999998,0
16,42.990000000000002,0
17,88.530000000000001,6
18,68.599999999999994,0
19,57.380000000000003,3
20,32.689999999999998,0
21,53.509999999999998,0
22,44.5,0
23,73.700000000000003,0
24,70.200000000000003,1
25,72.109999999999999,0
26,33.390000000000001,2
27,34.100000000000001,0
28,42.009999999999998,1
29,74.700000000000003,1
30,34.210000000000001,0
