Trial,Duration,Number of bumps into walls
1,72.319999999999993,11
2,23.0,21
3,34.380000000000003,2
4,64.510000000000005,0
5,62.520000000000003,10
6,28.5,0
7,93.799999999999997,4
8,43.270000000000003,0
9,118.11,2
10,22.100000000000001,0
11,32.700000000000003,0
12,27.100000000000001,0
13,39.380000000000003,3
14,22.32,0
15,19.300000000000001,0
16,32.899999999999999,0
17,53.409999999999997,0
18,49.399999999999999,0
19,128.5,3
20,41.979999999999997,0
21,59.909999999999997,6
22,51.729999999999997,0
23,92.170000000000002,4
24,108.11,3
25,37.5,0
26,39.670000000000002,0
27,61.609999999999999,8
28,26.920000000000002,0
29,60.079999999999998,1
30,23.539999999999999,0
